,filename,frames
0,../data/transformer/combine/normal\1-FemaleNoGlasses-Normal.avi,0
1,../data/transformer/combine/normal\1-MaleSunGlasses-Normal.avi,0
2,../data/transformer/combine/normal\10-FemaleNoGlasses-Normal.avi,0
3,../data/transformer/combine/normal\10-MaleNoGlasses-Normal.avi,0
4,../data/transformer/combine/normal\11-FemaleNoGlasses-Normal.avi,0
5,../data/transformer/combine/normal\11-MaleGlasses-Normal.avi,0
6,../data/transformer/combine/normal\12-FemaleNoGlasses-Normal.avi,21
7,../data/transformer/combine/normal\12-MaleGlasses-Normal.avi,0
8,../data/transformer/combine/normal\13-FemaleNoGlasses-Normal.avi,0
9,../data/transformer/combine/normal\13-MaleGlasses-Normal.avi,0
10,../data/transformer/combine/normal\14-FemaleNoGlasses-Normal.avi,0
11,../data/transformer/combine/normal\14-MaleGlasses-Normal.avi,1
12,../data/transformer/combine/normal\15-FemaleGlasses-Normal.avi,0
13,../data/transformer/combine/normal\15-FemaleSunGlasses-Normal.avi,0
14,../data/transformer/combine/normal\15-MaleNoGlasses-Normal.avi,32
15,../data/transformer/combine/normal\16-FemaleGlasses-Normal.avi,0
16,../data/transformer/combine/normal\16-MaleNoGlasses-Normal.avi,7
17,../data/transformer/combine/normal\17-FemaleNoGlasses-Normal.avi,0
18,../data/transformer/combine/normal\17-FemaleSunGlasses-Normal.avi,0
19,../data/transformer/combine/normal\17-MaleNoGlasses-Normal.avi,0
20,../data/transformer/combine/normal\18-FemaleNoGlasses-Normal.avi,1
21,../data/transformer/combine/normal\18-FemaleSunGlasses-Normal.avi,0
22,../data/transformer/combine/normal\18-MaleNoGlasses-Normal.avi,0
23,../data/transformer/combine/normal\19-FemaleNoGlasses-Normal.avi,0
24,../data/transformer/combine/normal\19-MaleGlassesmoustache-Normal.avi,0
25,../data/transformer/combine/normal\2-FemaleNoGlasses-Normal.avi,40
26,../data/transformer/combine/normal\2-MaleGlasses-Normal.avi,0
27,../data/transformer/combine/normal\20-FemaleNoGlasses-Normal.avi,0
28,../data/transformer/combine/normal\20-MaleGlasses-Normal.avi,10
29,../data/transformer/combine/normal\21-FemaleNoGlasses-Normal.avi,11
30,../data/transformer/combine/normal\21-MaleGlasses-Normal.avi,0
31,../data/transformer/combine/normal\22-FemaleNoGlasses-Normal.avi,0
32,../data/transformer/combine/normal\22-FemaleSunGlasses-Normal.avi,0
33,../data/transformer/combine/normal\22-MaleGlassesmoustache-Normal.avi,0
34,../data/transformer/combine/normal\23-FemaleNoGlasses-Normal.avi,6
